"max_ground_len","brown_glove50_perfect","brown_glove50_jaccard","brown_glove50_precision","brown_glove50_recall","brown_glove50_f1","brown_glove100_perfect","brown_glove100_jaccard","brown_glove100_precision","brown_glove100_recall","brown_glove100_f1","brown_glove200_perfect","brown_glove200_jaccard","brown_glove200_precision","brown_glove200_recall","brown_glove200_f1","brown_glove300_perfect","brown_glove300_jaccard","brown_glove300_precision","brown_glove300_recall","brown_glove300_f1"
11,0.1993370498719301,0.31930082519027014,0.3778807503343987,0.41967939419159844,0.42956440694576237,0.5895736025312641,0.7290314540569833,0.7684824805763933,0.8143955618737146,0.788744807543149,0.9375470845261413,0.9708824412621296,0.9782181537219582,0.9819196995895806,0.9798692555496341,0.9861383155039928,0.9948117045845689,0.9966617247617701,0.9967949257311921,0.9967239174199297
12,0.1786871961102107,0.2983094264793022,0.35760069084123947,0.39982830982121903,0.4061876515710932,0.5378849270664505,0.6902802605598629,0.7342254133420749,0.7867337489855724,0.7570765754898738,0.9199081577525662,0.9621613508078454,0.9712668806405164,0.976504958514683,0.9736053685185871,0.9835899513776337,0.9941517095741164,0.9962604648787793,0.9964460096449562,0.9963472960779762
13,0.1614891669209643,0.28034545510954495,0.3400838180806416,0.3824536933584842,0.38602040911481833,0.49063167531278606,0.6535090843761305,0.7012047554436499,0.7601905758771795,0.7265755617505503,0.897528227036924,0.9511466688830973,0.9624461225827583,0.9698275182925777,0.965741520779255,0.980103753433018,0.9930402571338705,0.995521945080993,0.9957927872148196,0.9956488759271906
14,0.14726179875333928,0.26502268434268783,0.32503404595559865,0.3672244812981122,0.3685533355752463,0.4500779162956367,0.6196495850084102,0.6703258562525989,0.734759080430552,0.6977585304042514,0.8702137132680321,0.9368770188698987,0.950936861319087,0.960957314675035,0.9554112165089904,0.9764024933214603,0.9918596197263656,0.9947211440796442,0.9950940857524785,0.9948956739923901
15,0.13561580646814617,0.2528810362165479,0.31339798246572237,0.35540068747362064,0.3548616738611953,0.4160729844702988,0.5914897268638036,0.6446800479253726,0.7136837932709493,0.6738819619212493,0.84321664701963,0.9222643917465798,0.9391147354365027,0.9518535371541368,0.9447978598048143,0.9718107734098713,0.9903840452423421,0.993698747645529,0.9942280696086242,0.9939455644074294
16,0.12608405603735823,0.24261769115766924,0.303456109862684,0.3450471892355767,0.3429562941758858,0.38721052129991423,0.565949256012228,0.6209587873053477,0.6939446293009383,0.6516327549531665,0.8128752501667779,0.905253760042148,0.9252842217027575,0.941159671372075,0.9323567106910915,0.9673591918421806,0.988845265437209,0.9925961082742665,0.9933382429302329,0.9929408632812334
17,0.11809336784789788,0.23389647900558275,0.2949952246560038,0.3361618613870833,0.332902262804119,0.36289386771400517,0.5439742809656023,0.600544288102999,0.6766466803499622,0.6324055705555592,0.7827813978398643,0.8877686150791021,0.9109884737333801,0.9300738948024537,0.9194778717573391,0.9613050075872535,0.9868037662380229,0.9911490777261538,0.9921405984328667,0.9916079024715706
18,0.11110644551753097,0.22645952026296384,0.28791759623588625,0.3286951920878573,0.3242200896266138,0.3415074532857443,0.5243488273532095,0.5822532599794188,0.6610866619044548,0.6151282113789743,0.7532647491077052,0.8702089778366576,0.8965322283858472,0.9186746036927894,0.9063720847072602,0.955406256560991,0.9842975812980365,0.989299451783011,0.9906203850812105,0.9899092778798178
19,0.10543512910423972,0.2204292423896432,0.282253163212952,0.32258368704569007,0.31723394000327276,0.32411539687599616,0.5081713546507715,0.5671196368580198,0.6481338989057538,0.6008020536647216,0.7251354797577303,0.8526272101751434,0.8818998125744781,0.9071218689745728,0.8930863865320944,0.9490755498884285,0.9816084267015757,0.9872638906466987,0.9890082398190351,0.9880663772303221
20,0.10039459705569889,0.21499516783510295,0.2771389345313756,0.3169870317991591,0.3109750853071064,0.30862042798603734,0.4934607393016702,0.553309049377337,0.6361670331969493,0.587678479412761,0.6986644407345576,0.8354720803543348,0.8675584878094106,0.8957782070035619,0.8800481950718987,0.9408104416451661,0.9780022277786871,0.9844829343707552,0.9868588096258348,0.9855703264223068
21,0.09575507545326241,0.21000867628445702,0.27248656168954305,0.3118316340401684,0.3051858428189906,0.2943581949118807,0.4794781108941225,0.5400852538646211,0.6245244813666799,0.5750385141987169,0.6716245069301198,0.8175542636194519,0.8525321770173924,0.8837082971869443,0.8663103468656088,0.9299750298556074,0.9729371850161663,0.9805897859542919,0.9837283346800126,0.9820239400112065
22,0.09197080291970802,0.2059240107154235,0.2686897475348157,0.3075829588199567,0.3004419344708282,0.28272506082725063,0.46777131706769043,0.5289861442563942,0.6145111224749901,0.5643370792966962,0.6475495307612096,0.8011186742690777,0.8386183366797253,0.8726249727867892,0.8536203079840269,0.9193952033368091,0.967487481529644,0.9763335737026204,0.9803125597824143,0.9781477806556258
